Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Arganda del Rey|28500|AVENIDA FINANZAUTO (DE), 2|1,779|1,759|22.18588967533894
Arganda del Rey|28500|AVDA DE MADRID, 103|1,869|1,919|21.12708373095866
Arganda del Rey|28500|AVENIDA DE MADRID, 126|1,809|1,809|21.035801402995066
Arroyomolinos|28939|CALLE FRESADORES (DE), 7|1,819|1,789|21.5417404634199
Arroyomolinos|28939|CR A-5, 23.5|1,879|1,919|22.66507911114224
Arroyomolinos|28939|FRESADORES, 19|1,839|1,819|21.668330938054336
Becerril de la Sierra|28490|CARRETERA M-623 KM. 1,5|1,818|1,928|40.78700466345407
Boadilla del Monte|28660|CARRETERA M-511 KM. 6,5|1,874|1,929|12.729598278539498
Boadilla del Monte|28660|CALLE CONDESA DE CHINCHÓN, 37|1,864|1,919|16.808885022460903
Boadilla del Monte|28660|CTRA. MV-5113; P.K. 1,800|1,864|1,919|17.023969269709198
Boadilla del Monte|28660|CTRA. MV-5113; P.K. 1,800|1,864|1,919|16.994926407815075
Boalo (El)|28412|CTRA. 607 (DE COLMENAR A NAVACERRADA) km 48,2|1,839|1,909|37.54167474200487
Brunete|28690|CALLE REAL DE SAN SEBASTIAN, 68|1,829|1,849|25.503689053217634
Brunete|28690|CARRETERA M-501 KM. 17,2|1,869|1,915|25.251919007192445
Buitrago del Lozoya|28730|PLAZA HUERTA DE LAS FLORES, 2|1,879|1,919|65.57119385251693
Buitrago del Lozoya|28730|CL AVENIDA MADRID, S.N. (N-1 km 74,7)|1,875|1,905|64.36034735442874
Bustarviejo|28720|CARRETERA CABANILLAS A BUSTARVIEJO KM. 5,320|1,865|1,929|47.75325904716464
Cabrera (La)|28751|AVDA. GENERALISIMO,12|1,869|1,899|50.18060013315834
Cabrera (La)|28751|AVENIDA AVDA. DE LA CABRERA S/N JUNTO AL HOSTAL EL CANCHO DEL AGUILA (A-1 KM 60), S/N|1,869|1,899|52.3936183893336
Cadalso de los Vidrios|28640|PLAZA FUENTE DE LOS ALAMOS, 12|1,869|1,919|64.78513528738388
Campo Real|28510|CALZADA M 209, 4|1,875|1,959|26.03918722301157
Casarrubuelos|28978|CALLE INMACULADA, 43|1,869|1,929|28.709205580014036
Cercedilla|28470|CARRETERA M 622 (CARRETERA GUADARRAMA A LA FUENFRIA) KM. 7,200|1,845|1,939|47.889804286844985
Chinchón|28370|CARRETERA M-311 KM. 19,4|1,859|1,899|36.83326697732777
Ciempozuelos|28350|CALLE DEL CEDRO, 5|1,799|1,816|27.602663668180064
Ciempozuelos|28350|CARRETERA M-414 KM. 42,100|1,909|1,904|28.747936174794262
Ciempozuelos|28350|CALLE ALAMO, 49|1,849|1,879|27.652328401379854
Ciempozuelos|28350|CARRETERA N-IV KM33 KM. 33|1,869|1,919|30.864967902320707
Ciempozuelos|28350|CARRETERA M-404 KM. 39,8|1,829|1,849|27.618187909147164
Cobeña|28863|AVENIDA RIO DUERO, 1|1,869|1,849|22.68431869484346
Cobeña|28863|CARRETERA M-103 KM. 6,207|1,869|1,849|24.418227275304254
Cobeña|28863|CARRETERA M-103 KM. 6,210|1,899|1,899|24.375410688661052
Collado Mediano|28450|AVENIDA BUENOS AIRES, SN|1,829|1,879|41.10474920684379
Collado Villalba|28400|C/ ESCOFINA S/N|1,759|1,799|36.862747521594
